epoch,train_loss,test_loss,test_acc,lr
1,2.127296,2.207625,21.7000,0.00010000
2,1.959631,2.029553,33.8600,0.00015000
3,1.880199,1.867283,41.5600,0.00020000
4,1.831011,1.725247,47.7400,0.00025000
5,1.760982,1.612415,51.5700,0.00030000
6,1.736210,1.537979,54.2100,0.00035000
7,1.721308,1.484685,56.1100,0.00040000
8,1.685170,1.440540,57.8300,0.00045000
9,1.651676,1.402642,59.3000,0.00050000
10,1.629197,1.371300,60.3700,0.00050000
11,1.597046,1.339984,62.0200,0.00049919
12,1.558837,1.308884,63.5300,0.00049676
13,1.533377,1.281270,65.0000,0.00049274
14,1.485623,1.252002,66.6300,0.00048713
15,1.446253,1.224745,68.2400,0.00047999
16,1.417113,1.199012,69.6200,0.00047136
17,1.396832,1.175390,70.9600,0.00046130
18,1.364802,1.154465,71.9800,0.00044986
19,1.331531,1.135251,72.9000,0.00043713
20,1.332844,1.115586,73.9000,0.00042318
21,1.297169,1.096539,74.7900,0.00040811
22,1.265536,1.081362,75.6400,0.00039202
23,1.217268,1.067267,76.3800,0.00037500
24,1.212646,1.052620,77.0200,0.00035717
25,1.201700,1.039509,77.7200,0.00033865
26,1.182859,1.026936,78.5300,0.00031955
27,1.133355,1.015923,79.3800,0.00030001
28,1.151601,1.004122,79.8800,0.00028013
29,1.120300,0.994738,80.3800,0.00026007
30,1.101551,0.985898,80.7500,0.00023993
31,1.097094,0.978339,81.1300,0.00021987
32,1.070887,0.969213,81.5900,0.00019999
33,1.063473,0.962275,82.2700,0.00018045
34,1.038237,0.955984,82.4500,0.00016135
35,1.043940,0.947911,82.6200,0.00014283
36,0.999754,0.941234,82.8900,0.00012500
37,1.003002,0.935876,83.2100,0.00010798
38,0.973243,0.931814,83.4200,0.00009189
39,1.006216,0.927500,83.5600,0.00007682
40,0.975900,0.922654,83.6600,0.00006287
41,0.974524,0.917882,83.8600,0.00005014
42,0.947274,0.914615,83.9100,0.00003870
43,0.940834,0.912178,84.0400,0.00002864
44,0.939664,0.910358,84.1300,0.00002001
45,0.931870,0.908899,84.3500,0.00001287
46,0.915133,0.908053,84.4700,0.00000726
47,0.887716,0.907747,84.5700,0.00000324
48,0.926311,0.906944,84.5200,0.00000081
49,0.948815,0.906403,84.5500,0.00000000
50,0.918456,0.905699,84.5900,0.00000000
